image,manufacturer,ratings,reviews,product,model,price,shipping_cost,original_price
https://c1.neweggimages.com/productimage/nb300/14-137-993-03.jpg,MSI,4.6,(393),MSI Ventus GeForce RTX 5070 Ti 16GB GDDR7 PCI Express 5.0 Graphics Card RTX 5070 TI 16G VENTUS 3X OC BLACK,RTX 5070 Ti 16G VENTUS 3X OC BLACK,"$1,199.99 ",,
https://c1.neweggimages.com/productimage/nb300/14-150-910-01.jpg,XFX,4.7,(27),"XFX Swift AMD Radeon RX 9060 XT OC Gaming Edition with 16GB GDDR6 HDMI 2xDP, AMD RDNA 4",RX-96TSW16BQ,$499.99 ,Free Shipping,
https://c1.neweggimages.com/productimage/nb300/14-932-776-02.jpg,GIGABYTE,4.3,(142),GIGABYTE Eagle GeForce RTX 5070 12GB GDDR7 PCI Express 5.0 ATX Graphics Card GV-N5070EAGLE OC-12GD,GV-N5070EAGLE OC-12GD,$809.99 ,Free Shipping,
https://c1.neweggimages.com/productimage/nb300/14-137-914-09.jpg,MSI,4.5,(248),MSI SHADOW GeForce RTX 5080 16GB GDDR7 PCI Express 5.0 Graphics Card RTX 5080 16G SHADOW 3X OC,RTX 5080 16G SHADOW 3X OC,"$1,579.99 ",Free Shipping,
https://c1.neweggimages.com/productimage/nb300/14-150-899-01.jpg,XFX,4.6,(90),XFX Mercury Radeon RX 9070 XT OC 16GB 256-Bit GDDR6 PCI-Express 5.0 RDNA 4 Graphics Card RX-97TRGBBB9,RX-97TRGBBB9,$809.99 ,Free Shipping,
https://c1.neweggimages.com/productimage/nb300/14-932-824-07.jpg,GIGABYTE,4.8,(158),GIGABYTE Gaming Radeon RX 9060 XT 16GB GDDR6 PCI Express 5.0 x16 ATX Graphics Card GV-R906XGAMINGOCICE-16GD,GV-R906XGAMINGOCICE-16GD,$549.99 ,Free Shipping,
https://c1.neweggimages.com/productimage/nb300/14-932-769-02.jpg,GIGABYTE,4.8,(241),GIGABYTE Eagle GeForce RTX 5070 Ti 16GB GDDR7 PCI Express 5.0 ATX Graphics Card GV-N507TEAGLEOC ICE-16GD,GV-N507TEAGLEOC ICE-16GD,"$1,119.99 ",Free Shipping,"$1,227.19"
https://c1.neweggimages.com/productimage/nb300/14-126-751-06.png,ASUS,4.6,(97),ASUS ROG Astral GeForce RTX 5090 32GB GDDR7 OC Edition ROG-ASTRAL-RTX5090-O32G-GAMING DLSS 4.0 PCI Express 5.0 Graphics Card,ROG-ASTRAL-RTX5090-O32G-GAMING,"$4,829.99 ",Free Shipping,
https://c1.neweggimages.com/productimage/nb300/14-930-136-05.jpg,ASRock,4.5,(182),ASRock Steel Legend Radeon RX 9070 XT 16GB GDDR6 PCI Express 5.0 x16 ATX Graphics Card RX9070XT SL 16G,RX9070XT SL 16G,$769.99 ,Free Shipping,
https://c1.neweggimages.com/productimage/nb300/14-932-777-02.jpg,GIGABYTE,4.3,(142),GIGABYTE WindForce GeForce RTX 5070 12GB GDDR7 PCI Express 5.0 ATX Graphics Card GV-N5070WF3OC-12GD,GV-N5070WF3OC-12GD,$799.99 ,Free Shipping,
